,id,snippet-title,snippets-text
0,abortion-01,Women who already had abortion earlier in there life time have abortion again.,"['Women who already had abortion earlier in there life time have abortion again.', 'At the age of 45 a women will have at least one abortion.']"
1,abortion-02,Abortion is MURDER!!!!,"['Abortion is wrong!', 'Abortion is MURDER!!!!']"
2,abortion-03,"Abortion is a big controversial topic, people believe abortion should be illegal and others think it should stay legal.","['Abortion is a big controversial topic, people believe abortion should be illegal and others think it should stay legal.', 'Abortion should be illegal because abortions are not safe, laws are protecting unborn babies, and fetuses can feel pain.']"
3,abortion-04,The most important argument against abortion would be- can we choose to kill unwanted pregnancies?,"['The most important argument against abortion would be- can we choose to kill unwanted pregnancies?', '::< therefore abortion is morally wrong.']"
4,abortion-05,"I am arguing for the right to have an abortion, not whether it is ok to abort a seven month developed child.","['It follows that ""having an abortion is the equivalent of not getting pregnant in the first place"" is contradictory.', 'I am arguing for the right to have an abortion, not whether it is ok to abort a seven month developed child.']"
5,abortion-06,"I believe a women should be able to decide, without consequences, whether to end the life of their unborn child or proceed with motherhood.","['If you are trying to decide if abortion is the right choice for you, you probably have many things to think about.', 'I believe a women should be able to decide, without consequences, whether to end the life of their unborn child or proceed with motherhood.']"
6,abortion-07,Outlawing abortion is taking away a human right given to women.,"['Outlawing abortion is taking away a human right given to women.', 'If the child has no organs developed that would be vital for the baby to survive outside the wound, than having an abortion is not murder.']"
7,abortion-08,Early term abortion and late term abortion should be allowed due to a womans choice.,"['Early term abortion and late term abortion should be allowed due to a womans choice.', 'The term abortion means the deliberate termination of a human pregnancy.']"
8,abortion-09,"If our country stops the use of abortion, we will end like china, forcing women that don't want to have an abortion to have an abortion to control the population.","[""Abortion is needed to control the population so that the population doesn't get too excess."", ""If our country stops the use of abortion, we will end like china, forcing women that don't want to have an abortion to have an abortion to control the population.""]"
9,abortion-10,"If it is immoral to kill a human, how could it be considered acceptable to terminate a fetus No civilized society allows one human to intentionally take the life of another human freely, and according to the aforementioned definition, abortion should not be different.","['If it is immoral to kill a human, how could it be considered acceptable to terminate a fetus No civilized society allows one human to intentionally take the life of another human freely, and according to the aforementioned definition, abortion should not be different.', 'Another reason that abortion should be illegal is due to the fact that there is no such thing as an unwanted child.']"
10,climate change-01,"Climate change is happening, but is it man caused?","['Climate change is happening, but is it man caused?', 'There was never enough research done on the natural causes of climate change, so we just naturally assumed it was man caused.']"
11,climate change-03,I'm against jailing Climate change deniers.,"[""I'm against jailing Climate change deniers."", 'Nevertheless some people think we should jail climate change deniers.']"
12,climate change-06,I will start My opening argument to state that global warming is a proven fact and anyone that disagrees with me is ignorant on this subject.,"['I will start My opening argument to state that global warming is a proven fact and anyone that disagrees with me is ignorant on this subject.', 'Also the arguments stated by Human-caused climate change deniers are pointless and not fact driven.']"
13,climate change-07,The reason that can be banned with violating the 1st Amendment is the harm caused to children in the production of child porn is of such magnitude the normal means of combating bad speech-- more speech is not adequate or sufficient.,"['One of them is child pornography.', 'The reason that can be banned with violating the 1st Amendment is the harm caused to children in the production of child porn is of such magnitude the normal means of combating bad speech-- more speech is not adequate or sufficient.']"
14,climate change-08,"Climate Change is causing the Earth to warm up measurably, and there are already signs of disaster.","['Climate Change is causing the Earth to warm up measurably, and there are already signs of disaster.', 'This proves that climate change is happening, but scientists are having trouble conveying the information and other data to the people of the world.']"
15,climate change-09,"It would be a drastic mistake to argue that ""past climate doesn't count,"" and I thank CON for bringing this potential misunderstanding to my attention.","['It would be a drastic mistake to argue that ""past climate doesn\'t count,"" and I thank CON for bringing this potential misunderstanding to my attention.', ""[7] I think we can all agree that Michael Mann was wrong ten years ago, and that the graph of climate anomalies is not shaped like a hockey stick, especially since that's not the topic of the debate I instigated, of the points I have argued, or of the sources I have cited.""]"
16,donald trump-01,Donald Trump is a candidate for the Republican party who is often called a racist by many Democrats as a form of argument why he should not be president.,"['Donald Trump is a candidate for the Republican party who is often called a racist by many Democrats as a form of argument why he should not be president.', 'Donald Trump is no racist and may be the least racist candidate.']"
17,donald trump-02,It is no surprise that you couldn't prove that Donald Trump would be a good president.,"[""Pro It would be difficult for anyone to prove that Donald Trump would be a good president-because he wouldn't!"", ""It is no surprise that you couldn't prove that Donald Trump would be a good president.""]"
18,donald trump-03,"Here is the link: This is proof that Donald Trump would be the worst president if he wins, worse than any other president in history.","['Trying to get Mexico to pay for the wall would put 2 million jobs at risk.', 'Here is the link: This is proof that Donald Trump would be the worst president if he wins, worse than any other president in history.']"
19,donald trump-04,Donald Trump is a Presbyterianism [3] and is therefore religious.,"['Donald Trump is a Presbyterianism [3] and is therefore religious.', ""Due to the fact that Donald Trump is religious this tells us that his beliefs do not coincide with the illuminati's goals.""]"
20,donald trump-05,"[2] Donald Trump has been a resident for 14 years, and in fact, he has lived in the United States all his life.","['[2] Donald Trump was born in the United States, specifically in New York.', '[2] Donald Trump has been a resident for 14 years, and in fact, he has lived in the United States all his life.']"
21,donald trump-06,"Donald Trump is saying what conservatives and independents wanted to hear, but is it a businessman just doing business and saying what he thinks will sell, again, only time will provide the answer, we can only hope that Donald Trump doesn't turn out to be a spoiler and allow Hillary or some other democrat to be elected to office.","['In the same article its stated that Donald Trump has been a contributor to the democrat party and organizations that conservatives were against so that certainly raises the question about who Donald trump reallty is Some have suggested that Donald trump is a spoiler taking away votes that could have gone to another republican candidate running for president who is a more known conservative ruining the republicans chances of winning the White House.', ""Donald Trump is saying what conservatives and independents wanted to hear, but is it a businessman just doing business and saying what he thinks will sell, again, only time will provide the answer, we can only hope that Donald Trump doesn't turn out to be a spoiler and allow Hillary or some other democrat to be elected to office.""]"
22,donald trump-07,"""Who is this man DONALD TRUMP"" ""All the world's a stage, And all the men and women merely players; They have their exits and their entrances, And one man in his time plays many parts,..."" All The World's A Stage...William Shakespeare The trick is to find out which part Donald Trump is now playing.","['""Who is this man DONALD TRUMP"" ""All the world\'s a stage, And all the men and women merely players; They have their exits and their entrances, And one man in his time plays many parts,..."" All The World\'s A Stage...William Shakespeare The trick is to find out which part Donald Trump is now playing.', 'Is Donald Trump a chameleon changing to suit his purpose']"
23,donald trump-08,He declared himself god in his last debate.,"[""I've done some research and found that Donald Trump has some unstable qualities."", 'He declared himself god in his last debate.']"
24,donald trump-09,"[2] Donald Trump has been a resident for 14 years, and in fact, he has lived in the United States all his life.","['[2] Donald Trump was born in the United States, specifically in New York.', '[2] Donald Trump has been a resident for 14 years, and in fact, he has lived in the United States all his life.']"
25,donald trump-10,"The point of the wall isn't to show the world that the US doesn't want people coming into it; rather, it is a statement that coming in legally will be EASIER than coming in the other way.","[""The point of the wall isn't to show the world that the US doesn't want people coming into it; rather, it is a statement that coming in legally will be EASIER than coming in the other way."", 'Those are a few of the reasons why I think you are wrong about Donald Trump, and why I am right.']"
26,google-01,"Just because Google gets more visitors, that doesn't mean it's necessarily better!","[""Just because Google gets more visitors, that doesn't mean it's necessarily better!"", '""As for Bing sounding better than Google, I\'m going to have to disagree ;).""']"
27,google-04,"But, I like google best, cause on google we can search up anything, even this very website.","['But, I like google best, cause on google we can search up anything, even this very website.', 'This website is awesome but google is better.']"
28,google-05,"I will be taking the CON side in this debate, because I will provide evidence that Google Inc. and all other services owned/managed by Google simply can't take over the world.","[""I will be taking the CON side in this debate, because I will provide evidence that Google Inc. and all other services owned/managed by Google simply can't take over the world."", 'Google is technically already a monopoly in Internet services, but is not an absolute monopoly where only one company controlls all the economy.']"
29,google-06,If everyone uses google classroom every document would be on the internet and paper would be like extinct.,"['If everyone uses google classroom every document would be on the internet and paper would be like extinct.', 'Google wants us to think like Google and that how they will take over the world.A279;']"
30,google-07,"People tend to prefer Google, so I would say Google is better than Bing.","['People tend to prefer Google, so I would say Google is better than Bing.', 'There is a reason why ""Google that"" is a common phrase.']"
31,google-08,Bing is just another copy cat trying to be as big as Google and it will not happen.,"['Bing is just another copy cat trying to be as big as Google and it will not happen.', 'Such as; Google translate, Google maps and many many more ( Bing on the other hand only has 23 different refined searches.']"
32,google-09,"As for Bing sounding better than Google, i'm going to have to disagree ;).","['This actually bolsters my case, because it shows that 67% of people would not ever use bing instead of google.', ""As for Bing sounding better than Google, i'm going to have to disagree ;).""]"
33,google-10,"Well you see,when it comes to Web services that go beyond simple search, it's hard to bet against Google.","[""Well you see,when it comes to Web services that go beyond simple search, it's hard to bet against Google."", ""Although Microsoft has Bing Maps, which is arguably better than Google Maps, Google adds in several more services, like Google Docs, Blogsearch and News, that easily best Bing's Web services.""]"
34,nuclear_energy-04,"SOLAR: Especially with so many ""experts"" verifying the existence of greenhouse gases and global warming, you would think that would open the door even wider for good ol' solar power.","['My opponent has demonstrated that nuclear energy does indeed exceed the effectiveness of fossil fuels.', 'SOLAR: Especially with so many ""experts"" verifying the existence of greenhouse gases and global warming, you would think that would open the door even wider for good ol\' solar power.']"
35,nuclear_energy-06,This is going to be a simple Pro Nuclear Energy vs Con Nuclear Energy.,"['This is going to be a simple Pro Nuclear Energy vs Con Nuclear Energy.', 'Nuclear energy (as it pertains to this debate) - The gathering of energy from nuclear fission or nuclear fusion to use in commercial purposes (such as electricity).']"
36,nuclear_energy-08,Not to mention that Fusion reactions are rapidly coming to a commercial scale for nuclear power plants and with more investment this could make nuclear energy the dominant source of power 2.,"['Nuclear energy is a good source of energy, if not the best.', 'Not to mention that Fusion reactions are rapidly coming to a commercial scale for nuclear power plants and with more investment this could make nuclear energy the dominant source of power 2.']"
37,trump-01,"""I think trump is life.","['""I think trump is life.', '[3] Now as far as I can tell a ""trump"" or ""trump card"" doesn\'t meet any of these requirements making my opponents statement ""trump is life"" false.']"
38,trump-02,Trump is the most openly racist Presidential candidate since pre Civil Rights.,"['Trump is the most openly racist Presidential candidate since pre Civil Rights.', ""Trump's rhetoric is dangerous and will destroy the US.""]"
39,trump-04,"""I will be the greatest jobs president that God ever created, I tell you that.","['""I will be the greatest jobs president that God ever created, I tell you that.', 'That is my argument.']"
40,trump-05,"Clearly more anti immigration laws will simply fuel more racism, and the death of innocent people.","['My opponent has no response to this, so insofar as I can prove Trump is racist, you vote neg.', 'Clearly more anti immigration laws will simply fuel more racism, and the death of innocent people.']"
41,trump-09,Illegal immigration is a key problem for the USA and if Mexico could be pursuaded to contribute towards the cost of its construction that would be an excellent economic and political result for the USA.,"['In my view Donald Trump would be an effective president for the USA.', 'Illegal immigration is a key problem for the USA and if Mexico could be pursuaded to contribute towards the cost of its construction that would be an excellent economic and political result for the USA.']"
42,vegan-01,"If pro doesn't redefine, I will take ""people"" to mean all people on Earth.","[""You'll see me draw several parallels between veganism and religion in my arguments as I will show that vegansim is very much a type of religion."", 'If pro doesn\'t redefine, I will take ""people"" to mean all people on Earth.']"
43,vegan-03,"Theoretical Nutrition Because Pro has no data showing vegan populations having health better than meat-eaters, he must construct a theoretical argument based upon nutrients that would be in the hypothetical well-planned vegan.","['Theoretical Nutrition Because Pro has no data showing vegan populations having health better than meat-eaters, he must construct a theoretical argument based upon nutrients that would be in the hypothetical well-planned vegan.', 'Vegan diet is in practice less healthy, and at best it can only equal a low-meat balanced diet.']"
44,vegan-04,"Theoretical Nutrition Because Pro has no data showing vegan populations having health better than meat-eaters, he must construct a theoretical argument based upon nutrients that would be in the hypothetical well-planned vegan.","['Theoretical Nutrition Because Pro has no data showing vegan populations having health better than meat-eaters, he must construct a theoretical argument based upon nutrients that would be in the hypothetical well-planned vegan.', 'Vegan diet is in practice less healthy, and at best it can only equal a low-meat balanced diet.']"
45,vegan-05,Being vegan is a luxury and wouldn't solve any problems at all.,"['Everyone being vegan is not going to create a better society, it would just exacarbate a food shortage that is killing people around the world.', ""Being vegan is a luxury and wouldn't solve any problems at all.""]"
46,vegan-06,"If pro doesn't redefine, I will take ""people"" to mean all people on Earth.","['If pro doesn\'t redefine, I will take ""people"" to mean all people on Earth.', 'After all, God did give us freewill.']"
47,vegan-07,Why wouldn't everyone be vegan?,"['Vegan is healthy, saves animals, and the planet.', ""Why wouldn't everyone be vegan?""]"
48,vegan-09,Summary Beyond the Average Person Con argued that vegan and meat-based diets can both be equally healthy though vegan diets are beyond the average person.,"['Summary Beyond the Average Person Con argued that vegan and meat-based diets can both be equally healthy though vegan diets are beyond the average person.', 'Given all this, can it be doubted that the vegan diet, as long as it is well planned, will be instrumental in reducing the rates of cancer, diabetes, and CVD.']"
49,vegan-10,I hope pro will join the debate once again and give valid reasons for why he believes going vegan is the right thing.,"['Just as it is not good for everybody to join one religion, it is not good for everybody to believe a set of principles such as veganism.', 'I hope pro will join the debate once again and give valid reasons for why he believes going vegan is the right thing.']"
